m,country,years,age,survivors
BWA,Botswana,2005-2010,60.0,27004.82
BWA,Botswana,2005-2010,65.0,23666.96
BWA,Botswana,2005-2010,70.0,20123.9
BWA,Botswana,2005-2010,75.0,15877.19
BWA,Botswana,2005-2010,80.0,10882.99
BWA,Botswana,2005-2010,85.0,5985.16
MLI,Mali,2005-2010,0.0,100000.0
MLI,Mali,2005-2010,1.0,90381.88
MLI,Mali,2005-2010,5.0,81965.96
MLI,Mali,2005-2010,10.0,80167.96
MLI,Mali,2005-2010,15.0,79145.01
MLI,Mali,2005-2010,20.0,77678.55
MLI,Mali,2005-2010,25.0,75845.71
MLI,Mali,2005-2010,30.0,73855.51
MLI,Mali,2005-2010,35.0,71820.47
MLI,Mali,2005-2010,40.0,69632.37
MLI,Mali,2005-2010,45.0,67274.16
MLI,Mali,2005-2010,50.0,64664.7
MLI,Mali,2005-2010,55.0,61268.1
MLI,Mali,2005-2010,60.0,56788.76
MLI,Mali,2005-2010,65.0,50137.4
MLI,Mali,2005-2010,70.0,40962.53
MLI,Mali,2005-2010,75.0,28963.18
MLI,Mali,2005-2010,80.0,16133.41
MLI,Mali,2005-2010,85.0,6061.89
GIN,Guinea,2005-2010,0.0,100000.0
GIN,Guinea,2005-2010,1.0,92569.71
GIN,Guinea,2005-2010,5.0,86320.98
GIN,Guinea,2005-2010,10.0,84403.96
GIN,Guinea,2005-2010,15.0,83344.83
GIN,Guinea,2005-2010,20.0,81793.58
GIN,Guinea,2005-2010,25.0,79855.29
GIN,Guinea,2005-2010,30.0,77751.21
GIN,Guinea,2005-2010,35.0,75600.25
GIN,Guinea,2005-2010,40.0,73288.39
GIN,Guinea,2005-2010,45.0,70798.36
GIN,Guinea,2005-2010,50.0,68044.49
GIN,Guinea,2005-2010,55.0,64461.23
GIN,Guinea,2005-2010,60.0,59737.01
GIN,Guinea,2005-2010,65.0,52723.86
GIN,Guinea,2005-2010,70.0,43055.7
GIN,Guinea,2005-2010,75.0,30421.99
GIN,Guinea,2005-2010,80.0,16929.32
GIN,Guinea,2005-2010,85.0,6352.56
BFA,Burkina Faso,2005-2010,0.0,100000.0
BFA,Burkina Faso,2005-2010,1.0,92337.99
BFA,Burkina Faso,2005-2010,5.0,84867.98
BFA,Burkina Faso,2005-2010,10.0,83042.55
BFA,Burkina Faso,2005-2010,15.0,82018.24
BFA,Burkina Faso,2005-2010,20.0,80529.73
BFA,Burkina Faso,2005-2010,25.0,78666.98
BFA,Burkina Faso,2005-2010,30.0,76641.54
BFA,Burkina Faso,2005-2010,35.0,74568.15
BFA,Burkina Faso,2005-2010,40.0,72334.87
BFA,Burkina Faso,2005-2010,45.0,69921.06
BFA,Burkina Faso,2005-2010,50.0,67243.56
BFA,Burkina Faso,2005-2010,55.0,63752.49
BFA,Burkina Faso,2005-2010,60.0,59142.84
BFA,Burkina Faso,2005-2010,65.0,52289.92
BFA,Burkina Faso,2005-2010,70.0,42811.17
BFA,Burkina Faso,2005-2010,75.0,30366.06
BFA,Burkina Faso,2005-2010,80.0,16990.59
BFA,Burkina Faso,2005-2010,85.0,6422.15
GNB,Guinea-Bissau,2005-2010,0.0,100000.0
GNB,Guinea-Bissau,2005-2010,1.0,90618.9
GNB,Guinea-Bissau,2005-2010,5.0,84607.98
GNB,Guinea-Bissau,2005-2010,10.0,82827.88
GNB,Guinea-Bissau,2005-2010,15.0,81823.96
GNB,Guinea-Bissau,2005-2010,20.0,80366.35
GNB,Guinea-Bissau,2005-2010,25.0,78540.17
GNB,Guinea-Bissau,2005-2010,30.0,76552.06
GNB,Guinea-Bissau,2005-2010,35.0,74514.86
GNB,Guinea-Bissau,2005-2010,40.0,72317.03
GNB,Guinea-Bissau,2005-2010,45.0,69935.4
GNB,Guinea-Bissau,2005-2010,50.0,67287.82
GNB,Guinea-Bissau,2005-2010,55.0,63830.54
GNB,Guinea-Bissau,2005-2010,60.0,59260.45
GNB,Guinea-Bissau,2005-2010,65.0,52459.25
GNB,Guinea-Bissau,2005-2010,70.0,43029.24
GNB,Guinea-Bissau,2005-2010,75.0,30605.4
GNB,Guinea-Bissau,2005-2010,80.0,17191.65
GNB,Guinea-Bissau,2005-2010,85.0,6532.13
SWZ,Swaziland,2005-2010,0.0,100000.0
SWZ,Swaziland,2005-2010,1.0,93027.0
SWZ,Swaziland,2005-2010,5.0,89389.43
SWZ,Swaziland,2005-2010,10.0,87996.32
SWZ,Swaziland,2005-2010,15.0,87189.95
SWZ,Swaziland,2005-2010,20.0,86177.19
SWZ,Swaziland,2005-2010,25.0,82422.02
SWZ,Swaziland,2005-2010,30.0,73628.11
SWZ,Swaziland,2005-2010,35.0,62052.72
SWZ,Swaziland,2005-2010,40.0,52226.61
SWZ,Swaziland,2005-2010,45.0,45978.1
SWZ,Swaziland,2005-2010,50.0,42345.68
SWZ,Swaziland,2005-2010,55.0,39793.91
SWZ,Swaziland,2005-2010,60.0,37161.11
SWZ,Swaziland,2005-2010,65.0,33595.26
SWZ,Swaziland,2005-2010,70.0,28565.23
SWZ,Swaziland,2005-2010,75.0,21853.53
SWZ,Swaziland,2005-2010,80.0,14060.19
SWZ,Swaziland,2005-2010,85.0,6918.81
NER,Niger,2005-2010,0.0,100000.0
NER,Niger,2005-2010,1.0,93841.73
NER,Niger,2005-2010,5.0,85434.98
NER,Niger,2005-2010,10.0,83800.18
NER,Niger,2005-2010,15.0,82868.03
NER,Niger,2005-2010,20.0,81508.71
NER,Niger,2005-2010,25.0,79797.3
NER,Niger,2005-2010,30.0,77924.15
NER,Niger,2005-2010,35.0,75996.46
NER,Niger,2005-2010,40.0,73902.19
NER,Niger,2005-2010,45.0,71606.9
NER,Niger,2005-2010,50.0,69030.71
NER,Niger,2005-2010,55.0,65644.11
NER,Niger,2005-2010,60.0,61145.85
NER,Niger,2005-2010,65.0,54421.26
NER,Niger,2005-2010,70.0,44998.22
NER,Niger,2005-2010,75.0,32394.72
NER,Niger,2005-2010,80.0,18511.19
NER,Niger,2005-2010,85.0,7196.67
CAF,Central African Republic,2005-2010,0.0,100000.0
CAF,Central African Republic,2005-2010,1.0,90632.52
CAF,Central African Republic,2005-2010,5.0,84412.73
CAF,Central African Republic,2005-2010,10.0,81707.14
CAF,Central African Republic,2005-2010,15.0,79931.35
CAF,Central African Republic,2005-2010,20.0,77995.78
CAF,Central African Republic,2005-2010,25.0,75542.26
CAF,Central African Republic,2005-2010,30.0,71304.56
CAF,Central African Republic,2005-2010,35.0,65930.01
CAF,Central African Republic,2005-2010,40.0,60077.18
CAF,Central African Republic,2005-2010,45.0,55346.14
CAF,Central African Republic,2005-2010,50.0,51469.52
CAF,Central African Republic,2005-2010,55.0,47906.33
CAF,Central African Republic,2005-2010,60.0,44094.88
CAF,Central African Republic,2005-2010,65.0,39131.64
CAF,Central African Republic,2005-2010,70.0,32467.79
CAF,Central African Republic,2005-2010,75.0,24102.98
CAF,Central African Republic,2005-2010,80.0,15101.94
CAF,Central African Republic,2005-2010,85.0,7212.45
TCD,Chad,2005-2010,0.0,100000.0
TCD,Chad,2005-2010,1.0,90038.87
TCD,Chad,2005-2010,5.0,83239.08
TCD,Chad,2005-2010,10.0,80438.78
TCD,Chad,2005-2010,15.0,78826.72
TCD,Chad,2005-2010,20.0,77136.49
TCD,Chad,2005-2010,25.0,75108.43
TCD,Chad,2005-2010,30.0,72247.2
TCD,Chad,2005-2010,35.0,68677.09
TCD,Chad,2005-2010,40.0,64390.58
TCD,Chad,2005-2010,45.0,60254.28
TCD,Chad,2005-2010,50.0,56272.7
TCD,Chad,2005-2010,55.0,52186.1
TCD,Chad,2005-2010,60.0,47573.85
TCD,Chad,2005-2010,65.0,41729.0
TCD,Chad,2005-2010,70.0,34218.31
TCD,Chad,2005-2010,75.0,25058.78
TCD,Chad,2005-2010,80.0,15461.15
TCD,Chad,2005-2010,85.0,7236.66
ZAR,"Congo, Dem. Rep.",2005-2010,0.0,100000.0
ZAR,"Congo, Dem. Rep.",2005-2010,1.0,89358.7
ZAR,"Congo, Dem. Rep.",2005-2010,5.0,81669.52
ZAR,"Congo, Dem. Rep.",2005-2010,10.0,78639.58
ZAR,"Congo, Dem. Rep.",2005-2010,15.0,77024.58
ZAR,"Congo, Dem. Rep.",2005-2010,20.0,75285.06
ZAR,"Congo, Dem. Rep.",2005-2010,25.0,73278.96
ZAR,"Congo, Dem. Rep.",2005-2010,30.0,71014.25
ZAR,"Congo, Dem. Rep.",2005-2010,35.0,68496.6
ZAR,"Congo, Dem. Rep.",2005-2010,40.0,65729.54
ZAR,"Congo, Dem. Rep.",2005-2010,45.0,62723.59
ZAR,"Congo, Dem. Rep.",2005-2010,50.0,59562.99
