m,country,years,age,survivors
ZAF,South Africa,2005-2010,60.0,43528.15
ZAF,South Africa,2005-2010,65.0,38178.49
ZAF,South Africa,2005-2010,70.0,32032.46
ZAF,South Africa,2005-2010,75.0,24927.02
ZAF,South Africa,2005-2010,80.0,17395.52
ZAF,South Africa,2005-2010,85.0,9932.83
SOM,Somalia,2005-2010,0.0,100000.0
SOM,Somalia,2005-2010,1.0,91707.23
SOM,Somalia,2005-2010,5.0,86103.46
SOM,Somalia,2005-2010,10.0,83921.36
SOM,Somalia,2005-2010,15.0,82408.07
SOM,Somalia,2005-2010,20.0,80988.73
SOM,Somalia,2005-2010,25.0,79263.98
SOM,Somalia,2005-2010,30.0,77158.19
SOM,Somalia,2005-2010,35.0,74660.22
SOM,Somalia,2005-2010,40.0,71740.31
SOM,Somalia,2005-2010,45.0,68719.8
SOM,Somalia,2005-2010,50.0,65551.29
SOM,Somalia,2005-2010,55.0,61832.7
SOM,Somalia,2005-2010,60.0,57187.71
SOM,Somalia,2005-2010,65.0,50982.11
SOM,Somalia,2005-2010,70.0,42594.26
SOM,Somalia,2005-2010,75.0,31972.89
SOM,Somalia,2005-2010,80.0,20340.53
SOM,Somalia,2005-2010,85.0,10030.82
AFG,Afghanistan,2005-2010,0.0,100000.0
AFG,Afghanistan,2005-2010,1.0,92707.04
AFG,Afghanistan,2005-2010,5.0,89453.15
AFG,Afghanistan,2005-2010,10.0,88440.47
AFG,Afghanistan,2005-2010,15.0,87653.55
AFG,Afghanistan,2005-2010,20.0,86512.04
AFG,Afghanistan,2005-2010,25.0,85028.87
AFG,Afghanistan,2005-2010,30.0,83359.75
AFG,Afghanistan,2005-2010,35.0,81480.1
AFG,Afghanistan,2005-2010,40.0,79350.17
AFG,Afghanistan,2005-2010,45.0,76889.77
AFG,Afghanistan,2005-2010,50.0,73910.38
AFG,Afghanistan,2005-2010,55.0,69972.57
AFG,Afghanistan,2005-2010,60.0,64804.67
AFG,Afghanistan,2005-2010,65.0,57620.64
AFG,Afghanistan,2005-2010,70.0,48099.32
AFG,Afghanistan,2005-2010,75.0,35920.83
AFG,Afghanistan,2005-2010,80.0,22443.37
AFG,Afghanistan,2005-2010,85.0,10557.41
SEN,Senegal,2005-2010,0.0,100000.0
SEN,Senegal,2005-2010,1.0,94938.65
SEN,Senegal,2005-2010,5.0,92352.0
SEN,Senegal,2005-2010,10.0,91284.66
SEN,Senegal,2005-2010,15.0,90651.35
SEN,Senegal,2005-2010,20.0,89677.81
SEN,Senegal,2005-2010,25.0,88422.02
SEN,Senegal,2005-2010,30.0,87007.02
SEN,Senegal,2005-2010,35.0,85523.64
SEN,Senegal,2005-2010,40.0,83849.89
SEN,Senegal,2005-2010,45.0,81902.24
SEN,Senegal,2005-2010,50.0,79606.17
SEN,Senegal,2005-2010,55.0,76487.15
SEN,Senegal,2005-2010,60.0,72249.01
SEN,Senegal,2005-2010,65.0,65785.19
SEN,Senegal,2005-2010,70.0,56265.97
SEN,Senegal,2005-2010,75.0,42616.98
SEN,Senegal,2005-2010,80.0,26167.69
SEN,Senegal,2005-2010,85.0,11187.04
COM,Comoros,2005-2010,0.0,100000.0
COM,Comoros,2005-2010,1.0,93293.09
COM,Comoros,2005-2010,5.0,90441.6
COM,Comoros,2005-2010,10.0,89528.69
COM,Comoros,2005-2010,15.0,88816.64
COM,Comoros,2005-2010,20.0,87772.81
COM,Comoros,2005-2010,25.0,86408.63
COM,Comoros,2005-2010,30.0,84866.45
COM,Comoros,2005-2010,35.0,83120.05
COM,Comoros,2005-2010,40.0,81121.62
COM,Comoros,2005-2010,45.0,78780.16
COM,Comoros,2005-2010,50.0,75896.69
COM,Comoros,2005-2010,55.0,72052.84
COM,Comoros,2005-2010,60.0,66955.98
COM,Comoros,2005-2010,65.0,59818.24
COM,Comoros,2005-2010,70.0,50227.06
COM,Comoros,2005-2010,75.0,37803.94
COM,Comoros,2005-2010,80.0,23855.2
COM,Comoros,2005-2010,85.0,11349.46
MRT,Mauritania,2005-2010,0.0,100000.0
MRT,Mauritania,2005-2010,1.0,92699.56
MRT,Mauritania,2005-2010,5.0,89462.0
MRT,Mauritania,2005-2010,10.0,88530.38
MRT,Mauritania,2005-2010,15.0,87948.79
MRT,Mauritania,2005-2010,20.0,87072.77
MRT,Mauritania,2005-2010,25.0,85937.64
MRT,Mauritania,2005-2010,30.0,84651.56
MRT,Mauritania,2005-2010,35.0,83299.47
MRT,Mauritania,2005-2010,40.0,81762.97
MRT,Mauritania,2005-2010,45.0,79955.31
MRT,Mauritania,2005-2010,50.0,77805.7
MRT,Mauritania,2005-2010,55.0,74869.88
MRT,Mauritania,2005-2010,60.0,70865.68
MRT,Mauritania,2005-2010,65.0,64739.9
MRT,Mauritania,2005-2010,70.0,55645.63
MRT,Mauritania,2005-2010,75.0,42460.67
MRT,Mauritania,2005-2010,80.0,26347.22
MRT,Mauritania,2005-2010,85.0,11419.85
UGA,Uganda,2005-2010,0.0,100000.0
UGA,Uganda,2005-2010,1.0,93898.32
UGA,Uganda,2005-2010,5.0,90483.97
UGA,Uganda,2005-2010,10.0,88880.19
UGA,Uganda,2005-2010,15.0,87626.6
UGA,Uganda,2005-2010,20.0,86160.96
UGA,Uganda,2005-2010,25.0,84203.89
UGA,Uganda,2005-2010,30.0,80842.59
UGA,Uganda,2005-2010,35.0,76584.7
UGA,Uganda,2005-2010,40.0,71362.51
UGA,Uganda,2005-2010,45.0,66438.71
UGA,Uganda,2005-2010,50.0,62348.22
UGA,Uganda,2005-2010,55.0,57840.73
UGA,Uganda,2005-2010,60.0,53219.96
UGA,Uganda,2005-2010,65.0,48068.3
UGA,Uganda,2005-2010,70.0,41341.8
UGA,Uganda,2005-2010,75.0,32483.41
UGA,Uganda,2005-2010,80.0,21960.35
UGA,Uganda,2005-2010,85.0,11582.29
COG,"Congo, Rep.",2005-2010,0.0,100000.0
COG,"Congo, Rep.",2005-2010,1.0,93306.62
COG,"Congo, Rep.",2005-2010,5.0,89339.01
COG,"Congo, Rep.",2005-2010,10.0,87576.81
COG,"Congo, Rep.",2005-2010,15.0,86345.31
COG,"Congo, Rep.",2005-2010,20.0,84991.36
COG,"Congo, Rep.",2005-2010,25.0,83434.5
COG,"Congo, Rep.",2005-2010,30.0,81131.93
COG,"Congo, Rep.",2005-2010,35.0,78147.06
COG,"Congo, Rep.",2005-2010,40.0,74209.47
COG,"Congo, Rep.",2005-2010,45.0,70195.83
COG,"Congo, Rep.",2005-2010,50.0,66292.41
COG,"Congo, Rep.",2005-2010,55.0,62326.72
COG,"Congo, Rep.",2005-2010,60.0,57901.11
COG,"Congo, Rep.",2005-2010,65.0,52134.42
COG,"Congo, Rep.",2005-2010,70.0,44359.4
COG,"Congo, Rep.",2005-2010,75.0,34243.9
COG,"Congo, Rep.",2005-2010,80.0,22666.96
COG,"Congo, Rep.",2005-2010,85.0,11631.38
ERI,Eritrea,2005-2010,0.0,100000.0
ERI,Eritrea,2005-2010,1.0,94847.0
ERI,Eritrea,2005-2010,5.0,93152.91
ERI,Eritrea,2005-2010,10.0,92565.22
ERI,Eritrea,2005-2010,15.0,92122.26
ERI,Eritrea,2005-2010,20.0,91422.31
ERI,Eritrea,2005-2010,25.0,90310.81
ERI,Eritrea,2005-2010,30.0,88727.65
ERI,Eritrea,2005-2010,35.0,86593.53
ERI,Eritrea,2005-2010,40.0,83982.1
ERI,Eritrea,2005-2010,45.0,80962.87
ERI,Eritrea,2005-2010,50.0,77337.94
ERI,Eritrea,2005-2010,55.0,72617.72
ERI,Eritrea,2005-2010,60.0,66252.81
ERI,Eritrea,2005-2010,65.0,57869.83
ERI,Eritrea,2005-2010,70.0,47402.68
ERI,Eritrea,2005-2010,75.0,35214.86
ERI,Eritrea,2005-2010,80.0,22589.53
ERI,Eritrea,2005-2010,85.0,11756.94
PNG,Papua New Guinea,2005-2010,0.0,100000.0
PNG,Papua New Guinea,2005-2010,1.0,95064.93
PNG,Papua New Guinea,2005-2010,5.0,93494.09
PNG,Papua New Guinea,2005-2010,10.0,93028.62
PNG,Papua New Guinea,2005-2010,15.0,92664.51
PNG,Papua New Guinea,2005-2010,20.0,91944.21
PNG,Papua New Guinea,2005-2010,25.0,90942.36
PNG,Papua New Guinea,2005-2010,30.0,89658.69
PNG,Papua New Guinea,2005-2010,35.0,88137.89
PNG,Papua New Guinea,2005-2010,40.0,86202.6
PNG,Papua New Guinea,2005-2010,45.0,83701.41
PNG,Papua New Guinea,2005-2010,50.0,80279.98
PNG,Papua New Guinea,2005-2010,55.0,75547.33
PNG,Papua New Guinea,2005-2010,60.0,69072.35
PNG,Papua New Guinea,2005-2010,65.0,60531.51
PNG,Papua New Guinea,2005-2010,70.0,49741.99
PNG,Papua New Guinea,2005-2010,75.0,37198.67
PNG,Papua New Guinea,2005-2010,80.0,24316.55
PNG,Papua New Guinea,2005-2010,85.0,12662.99
YEM,"Yemen, Rep.",2005-2010,0.0,100000.0
YEM,"Yemen, Rep.",2005-2010,1.0,94347.49
YEM,"Yemen, Rep.",2005-2010,5.0,92041.0
YEM,"Yemen, Rep.",2005-2010,10.0,91295.19
YEM,"Yemen, Rep.",2005-2010,15.0,90708.96
YEM,"Yemen, Rep.",2005-2010,20.0,89830.37
YEM,"Yemen, Rep.",2005-2010,25.0,88668.63
YEM,"Yemen, Rep.",2005-2010,30.0,87344.33
YEM,"Yemen, Rep.",2005-2010,35.0,85829.61
YEM,"Yemen, Rep.",2005-2010,40.0,84063.96
YEM,"Yemen, Rep.",2005-2010,45.0,81938.81
YEM,"Yemen, Rep.",2005-2010,50.0,79237.09
YEM,"Yemen, Rep.",2005-2010,55.0,75578.84
YEM,"Yemen, Rep.",2005-2010,60.0,70635.77
YEM,"Yemen, Rep.",2005-2010,65.0,63621.42
YEM,"Yemen, Rep.",2005-2010,70.0,53958.91
YEM,"Yemen, Rep.",2005-2010,75.0,41160.93
YEM,"Yemen, Rep.",2005-2010,80.0,26417.84
YEM,"Yemen, Rep.",2005-2010,85.0,12800.63
TZA,Tanzania,2005-2010,0.0,100000.0
TZA,Tanzania,2005-2010,1.0,94442.19
TZA,Tanzania,2005-2010,5.0,91441.69
TZA,Tanzania,2005-2010,10.0,89973.79
TZA,Tanzania,2005-2010,15.0,88796.49
TZA,Tanzania,2005-2010,20.0,87549.69
TZA,Tanzania,2005-2010,25.0,85955.6
TZA,Tanzania,2005-2010,30.0,82852.54
TZA,Tanzania,2005-2010,35.0,78011.87
TZA,Tanzania,2005-2010,40.0,71763.9
TZA,Tanzania,2005-2010,45.0,66819.97
TZA,Tanzania,2005-2010,50.0,63383.64
TZA,Tanzania,2005-2010,55.0,60316.97
TZA,Tanzania,2005-2010,60.0,56819.51
TZA,Tanzania,2005-2010,65.0,51982.06
TZA,Tanzania,2005-2010,70.0,45137.34
TZA,Tanzania,2005-2010,75.0,35774.31
TZA,Tanzania,2005-2010,80.0,24458.94
TZA,Tanzania,2005-2010,85.0,13088.88
KEN,Kenya,2005-2010,0.0,100000.0
KEN,Kenya,2005-2010,1.0,94640.19
KEN,Kenya,2005-2010,5.0,91769.16
KEN,Kenya,2005-2010,10.0,90304.81
KEN,Kenya,2005-2010,15.0,89093.83
KEN,Kenya,2005-2010,20.0,87968.85
KEN,Kenya,2005-2010,25.0,86486.76
KEN,Kenya,2005-2010,30.0,83552.7
KEN,Kenya,2005-2010,35.0,78927.1
KEN,Kenya,2005-2010,40.0,73073.3
KEN,Kenya,2005-2010,45.0,68749.5
KEN,Kenya,2005-2010,50.0,65543.04
KEN,Kenya,2005-2010,55.0,62522.84
KEN,Kenya,2005-2010,60.0,58978.62
KEN,Kenya,2005-2010,65.0,54041.71
KEN,Kenya,2005-2010,70.0,47008.14
KEN,Kenya,2005-2010,75.0,37384.35
KEN,Kenya,2005-2010,80.0,25676.85
KEN,Kenya,2005-2010,85.0,13822.29
DJI,Djibouti,2005-2010,0.0,100000.0
DJI,Djibouti,2005-2010,1.0,94147.14
DJI,Djibouti,2005-2010,5.0,90803.89
DJI,Djibouti,2005-2010,10.0,89343.73
DJI,Djibouti,2005-2010,15.0,88419.68
DJI,Djibouti,2005-2010,20.0,87375.32
DJI,Djibouti,2005-2010,25.0,86047.72
DJI,Djibouti,2005-2010,30.0,84137.42
DJI,Djibouti,2005-2010,35.0,81684.54
DJI,Djibouti,2005-2010,40.0,78666.24
DJI,Djibouti,2005-2010,45.0,75579.05
DJI,Djibouti,2005-2010,50.0,72422.14
DJI,Djibouti,2005-2010,55.0,68825.11
DJI,Djibouti,2005-2010,60.0,64536.14
DJI,Djibouti,2005-2010,65.0,58677.63
DJI,Djibouti,2005-2010,70.0,50507.02
DJI,Djibouti,2005-2010,75.0,39582.85
DJI,Djibouti,2005-2010,80.0,26673.97
DJI,Djibouti,2005-2010,85.0,14010.27
MDG,Madagascar,2005-2010,0.0,100000.0
MDG,Madagascar,2005-2010,1.0,95685.0
MDG,Madagascar,2005-2010,5.0,93678.69
MDG,Madagascar,2005-2010,10.0,92559.38
MDG,Madagascar,2005-2010,15.0,91701.78
MDG,Madagascar,2005-2010,20.0,90468.65
MDG,Madagascar,2005-2010,25.0,89040.97
MDG,Madagascar,2005-2010,30.0,87516.07
MDG,Madagascar,2005-2010,35.0,85677.79
MDG,Madagascar,2005-2010,40.0,83535.68
MDG,Madagascar,2005-2010,45.0,81123.42
MDG,Madagascar,2005-2010,50.0,78301.98
MDG,Madagascar,2005-2010,55.0,74822.15
MDG,Madagascar,2005-2010,60.0,70229.72
MDG,Madagascar,2005-2010,65.0,63750.71
MDG,Madagascar,2005-2010,70.0,54018.95
MDG,Madagascar,2005-2010,75.0,41203.4
MDG,Madagascar,2005-2010,80.0,26948.58
MDG,Madagascar,2005-2010,85.0,14019.42
HTI,Haiti,2005-2010,0.0,100000.0
HTI,Haiti,2005-2010,1.0,95545.0
HTI,Haiti,2005-2010,5.0,92413.99
HTI,Haiti,2005-2010,10.0,91068.44
HTI,Haiti,2005-2010,15.0,90053.03
HTI,Haiti,2005-2010,20.0,88791.39
HTI,Haiti,2005-2010,25.0,87281.05
HTI,Haiti,2005-2010,30.0,85548.52
HTI,Haiti,2005-2010,35.0,83611.7
HTI,Haiti,2005-2010,40.0,81437.79
HTI,Haiti,2005-2010,45.0,78925.44
HTI,Haiti,2005-2010,50.0,76152.0
HTI,Haiti,2005-2010,55.0,72629.97
HTI,Haiti,2005-2010,60.0,68120.37
HTI,Haiti,2005-2010,65.0,61832.18
HTI,Haiti,2005-2010,70.0,53097.77
HTI,Haiti,2005-2010,75.0,41614.31
HTI,Haiti,2005-2010,80.0,28352.25
HTI,Haiti,2005-2010,85.0,14111.38
ETH,Ethiopia,2005-2010,0.0,100000.0
ETH,Ethiopia,2005-2010,1.0,94533.95
ETH,Ethiopia,2005-2010,5.0,91519.31
ETH,Ethiopia,2005-2010,10.0,90149.85
ETH,Ethiopia,2005-2010,15.0,89214.13
ETH,Ethiopia,2005-2010,20.0,88197.92
ETH,Ethiopia,2005-2010,25.0,86920.36
ETH,Ethiopia,2005-2010,30.0,84825.1
ETH,Ethiopia,2005-2010,35.0,81907.97
ETH,Ethiopia,2005-2010,40.0,78176.62
ETH,Ethiopia,2005-2010,45.0,74545.53
ETH,Ethiopia,2005-2010,50.0,71012.64
ETH,Ethiopia,2005-2010,55.0,67292.37
ETH,Ethiopia,2005-2010,60.0,63064.74
ETH,Ethiopia,2005-2010,65.0,57419.19
ETH,Ethiopia,2005-2010,70.0,49606.1
ETH,Ethiopia,2005-2010,75.0,39130.31
ETH,Ethiopia,2005-2010,80.0,26635.2
ETH,Ethiopia,2005-2010,85.0,14172.08
NAM,Namibia,2005-2010,0.0,100000.0
NAM,Namibia,2005-2010,1.0,96454.34
NAM,Namibia,2005-2010,5.0,95375.11
NAM,Namibia,2005-2010,10.0,94773.99
NAM,Namibia,2005-2010,15.0,94313.7
NAM,Namibia,2005-2010,20.0,93824.38
NAM,Namibia,2005-2010,25.0,92670.01
NAM,Namibia,2005-2010,30.0,89884.26
NAM,Namibia,2005-2010,35.0,86011.1
NAM,Namibia,2005-2010,40.0,81109.59
NAM,Namibia,2005-2010,45.0,76861.12
NAM,Namibia,2005-2010,50.0,72769.69
NAM,Namibia,2005-2010,55.0,68802.25
NAM,Namibia,2005-2010,60.0,64388.1
NAM,Namibia,2005-2010,65.0,58788.15
NAM,Namibia,2005-2010,70.0,51108.13
NAM,Namibia,2005-2010,75.0,40529.67
NAM,Namibia,2005-2010,80.0,27484.14
NAM,Namibia,2005-2010,85.0,14212.17
RWA,Rwanda,2005-2010,0.0,100000.0
RWA,Rwanda,2005-2010,1.0,94428.54
RWA,Rwanda,2005-2010,5.0,91330.05
RWA,Rwanda,2005-2010,10.0,89920.68
RWA,Rwanda,2005-2010,15.0,88911.66
RWA,Rwanda,2005-2010,20.0,87824.47
RWA,Rwanda,2005-2010,25.0,86498.8
RWA,Rwanda,2005-2010,30.0,84672.12
RWA,Rwanda,2005-2010,35.0,82356.66
RWA,Rwanda,2005-2010,40.0,79364.88
RWA,Rwanda,2005-2010,45.0,76178.17
RWA,Rwanda,2005-2010,50.0,72989.95
RWA,Rwanda,2005-2010,55.0,69437.61
RWA,Rwanda,2005-2010,60.0,65231.21
RWA,Rwanda,2005-2010,65.0,59478.26
RWA,Rwanda,2005-2010,70.0,51379.24
RWA,Rwanda,2005-2010,75.0,40464.9
RWA,Rwanda,2005-2010,80.0,27471.06
RWA,Rwanda,2005-2010,85.0,14567.14
TMP,Timor-Leste,2005-2010,0.0,100000.0
TMP,Timor-Leste,2005-2010,1.0,95335.05
TMP,Timor-Leste,2005-2010,5.0,93749.4
TMP,Timor-Leste,2005-2010,10.0,93181.29
TMP,Timor-Leste,2005-2010,15.0,92731.11
TMP,Timor-Leste,2005-2010,20.0,92031.67
TMP,Timor-Leste,2005-2010,25.0,91090.4
TMP,Timor-Leste,2005-2010,30.0,90005.14
TMP,Timor-Leste,2005-2010,35.0,88747.92
TMP,Timor-Leste,2005-2010,40.0,87244.45
TMP,Timor-Leste,2005-2010,45.0,85369.17
TMP,Timor-Leste,2005-2010,50.0,82885.65
TMP,Timor-Leste,2005-2010,55.0,79455.55
TMP,Timor-Leste,2005-2010,60.0,74715.27
TMP,Timor-Leste,2005-2010,65.0,67883.72
TMP,Timor-Leste,2005-2010,70.0,58199.5
TMP,Timor-Leste,2005-2010,75.0,45043.53
TMP,Timor-Leste,2005-2010,80.0,29451.0
TMP,Timor-Leste,2005-2010,85.0,14585.82
MMR,Myanmar,2005-2010,0.0,100000.0
MMR,Myanmar,2005-2010,1.0,95402.73
MMR,Myanmar,2005-2010,5.0,93858.32
MMR,Myanmar,2005-2010,10.0,93301.7
MMR,Myanmar,2005-2010,15.0,92860.33
MMR,Myanmar,2005-2010,20.0,92172.73
MMR,Myanmar,2005-2010,25.0,91246.08
MMR,Myanmar,2005-2010,30.0,90176.75
MMR,Myanmar,2005-2010,35.0,88936.78
MMR,Myanmar,2005-2010,40.0,87450.96
MMR,Myanmar,2005-2010,45.0,85592.76
MMR,Myanmar,2005-2010,50.0,83124.56
MMR,Myanmar,2005-2010,55.0,79710.75
MMR,Myanmar,2005-2010,60.0,74985.54
MMR,Myanmar,2005-2010,65.0,68168.36
MMR,Myanmar,2005-2010,70.0,58485.44
MMR,Myanmar,2005-2010,75.0,45308.39
MMR,Myanmar,2005-2010,80.0,29660.56
MMR,Myanmar,2005-2010,85.0,14709.78
GUY,Guyana,2005-2010,0.0,100000.0
GUY,Guyana,2005-2010,1.0,97103.4
GUY,Guyana,2005-2010,5.0,96411.54
GUY,Guyana,2005-2010,10.0,95821.08
GUY,Guyana,2005-2010,15.0,95380.77
GUY,Guyana,2005-2010,20.0,94664.35
GUY,Guyana,2005-2010,25.0,93700.01
GUY,Guyana,2005-2010,30.0,92587.96
GUY,Guyana,2005-2010,35.0,91299.44
GUY,Guyana,2005-2010,40.0,89757.91
GUY,Guyana,2005-2010,45.0,87834.04
GUY,Guyana,2005-2010,50.0,85284.39
GUY,Guyana,2005-2010,55.0,81762.26
GUY,Guyana,2005-2010,60.0,76892.78
GUY,Guyana,2005-2010,65.0,69873.08
GUY,Guyana,2005-2010,70.0,59916.38
GUY,Guyana,2005-2010,75.0,46384.09
GUY,Guyana,2005-2010,80.0,30334.23
GUY,Guyana,2005-2010,85.0,15010.41
NPL,Nepal,2005-2010,0.0,100000.0
NPL,Nepal,2005-2010,1.0,95727.79
NPL,Nepal,2005-2010,5.0,94374.82
NPL,Nepal,2005-2010,10.0,93872.56
NPL,Nepal,2005-2010,15.0,93472.99
NPL,Nepal,2005-2010,20.0,92842.02
NPL,Nepal,2005-2010,25.0,91985.74
NPL,Nepal,2005-2010,30.0,90993.26
NPL,Nepal,2005-2010,35.0,89836.87
NPL,Nepal,2005-2010,40.0,88437.31
NPL,Nepal,2005-2010,45.0,86663.57
NPL,Nepal,2005-2010,50.0,84272.39
NPL,Nepal,2005-2010,55.0,80941.54
NPL,Nepal,2005-2010,60.0,76294.68
NPL,Nepal,2005-2010,65.0,69554.58
NPL,Nepal,2005-2010,70.0,59886.52
NPL,Nepal,2005-2010,75.0,46615.47
NPL,Nepal,2005-2010,80.0,30702.85
NPL,Nepal,2005-2010,85.0,15331.19
LAO,Lao PDR,2005-2010,0.0,100000.0
LAO,Lao PDR,2005-2010,1.0,95576.34
LAO,Lao PDR,2005-2010,5.0,94374.73
LAO,Lao PDR,2005-2010,10.0,93872.7
LAO,Lao PDR,2005-2010,15.0,93473.32
LAO,Lao PDR,2005-2010,20.0,92842.6
LAO,Lao PDR,2005-2010,25.0,91986.65
LAO,Lao PDR,2005-2010,30.0,90994.52
LAO,Lao PDR,2005-2010,35.0,89838.51
LAO,Lao PDR,2005-2010,40.0,88439.36
LAO,Lao PDR,2005-2010,45.0,86666.02
LAO,Lao PDR,2005-2010,50.0,84275.25
LAO,Lao PDR,2005-2010,55.0,80944.84
LAO,Lao PDR,2005-2010,60.0,76298.45
LAO,Lao PDR,2005-2010,65.0,69558.87
LAO,Lao PDR,2005-2010,70.0,59891.14
LAO,Lao PDR,2005-2010,75.0,46620.05
LAO,Lao PDR,2005-2010,80.0,30706.68
LAO,Lao PDR,2005-2010,85.0,15333.57
SDN,Sudan,2005-2010,0.0,100000.0
SDN,Sudan,2005-2010,1.0,94445.08
SDN,Sudan,2005-2010,5.0,91106.88
SDN,Sudan,2005-2010,10.0,89823.2
SDN,Sudan,2005-2010,15.0,88900.85
SDN,Sudan,2005-2010,20.0,87906.68
SDN,Sudan,2005-2010,25.0,86658.7
SDN,Sudan,2005-2010,30.0,85183.92
SDN,Sudan,2005-2010,35.0,83513.1
SDN,Sudan,2005-2010,40.0,81577.81
SDN,Sudan,2005-2010,45.0,79367.14
SDN,Sudan,2005-2010,50.0,76802.97
SDN,Sudan,2005-2010,55.0,73362.63
SDN,Sudan,2005-2010,60.0,69052.77
SDN,Sudan,2005-2010,65.0,63176.4
SDN,Sudan,2005-2010,70.0,54531.75
SDN,Sudan,2005-2010,75.0,42818.29
SDN,Sudan,2005-2010,80.0,29000.03
SDN,Sudan,2005-2010,85.0,15527.83
KWT,Kuwait,2005-2010,0.0,100000.0
KWT,Kuwait,2005-2010,1.0,99106.14
KWT,Kuwait,2005-2010,5.0,98857.97
KWT,Kuwait,2005-2010,10.0,98759.16
KWT,Kuwait,2005-2010,15.0,98651.57
KWT,Kuwait,2005-2010,20.0,98530.3
KWT,Kuwait,2005-2010,25.0,98362.94
KWT,Kuwait,2005-2010,30.0,98178.18
KWT,Kuwait,2005-2010,35.0,97946.25
KWT,Kuwait,2005-2010,40.0,97607.42
KWT,Kuwait,2005-2010,45.0,97105.95
KWT,Kuwait,2005-2010,50.0,96361.34
KWT,Kuwait,2005-2010,55.0,94963.6
KWT,Kuwait,2005-2010,60.0,92366.73
KWT,Kuwait,2005-2010,65.0,86703.93
KWT,Kuwait,2005-2010,70.0,76288.66
KWT,Kuwait,2005-2010,75.0,59545.43
KWT,Kuwait,2005-2010,80.0,37259.14
KWT,Kuwait,2005-2010,85.0,15892.51
SLB,Solomon Islands,2005-2010,0.0,100000.0
SLB,Solomon Islands,2005-2010,1.0,96015.46
SLB,Solomon Islands,2005-2010,5.0,94821.74
SLB,Solomon Islands,2005-2010,10.0,94365.48
SLB,Solomon Islands,2005-2010,15.0,94001.53
SLB,Solomon Islands,2005-2010,20.0,93421.1
SLB,Solomon Islands,2005-2010,25.0,92628.25
SLB,Solomon Islands,2005-2010,30.0,91705.04
SLB,Solomon Islands,2005-2010,35.0,90623.96
SLB,Solomon Islands,2005-2010,40.0,89302.13
SLB,Solomon Islands,2005-2010,45.0,87605.56
SLB,Solomon Islands,2005-2010,50.0,85286.8
SLB,Solomon Islands,2005-2010,55.0,82034.2
SLB,Solomon Islands,2005-2010,60.0,77463.95
SLB,Solomon Islands,2005-2010,65.0,70801.08
SLB,Solomon Islands,2005-2010,70.0,61157.69
SLB,Solomon Islands,2005-2010,75.0,47813.99
SLB,Solomon Islands,2005-2010,80.0,31669.68
SLB,Solomon Islands,2005-2010,85.0,15914.26
ESH,Western Sahara,2005-2010,0.0,100000.0
ESH,Western Sahara,2005-2010,1.0,96145.76
ESH,Western Sahara,2005-2010,5.0,95020.57
ESH,Western Sahara,2005-2010,10.0,94584.06
ESH,Western Sahara,2005-2010,15.0,94235.53
ESH,Western Sahara,2005-2010,20.0,93678.46
ESH,Western Sahara,2005-2010,25.0,92915.19
ESH,Western Sahara,2005-2010,30.0,92024.11
ESH,Western Sahara,2005-2010,35.0,90977.69
ESH,Western Sahara,2005-2010,40.0,89691.18
ESH,Western Sahara,2005-2010,45.0,88029.82
ESH,Western Sahara,2005-2010,50.0,85744.83
ESH,Western Sahara,2005-2010,55.0,82528.21
ESH,Western Sahara,2005-2010,60.0,77994.22
ESH,Western Sahara,2005-2010,65.0,71367.75
ESH,Western Sahara,2005-2010,70.0,61738.62
ESH,Western Sahara,2005-2010,75.0,48365.27
ESH,Western Sahara,2005-2010,80.0,32117.46
ESH,Western Sahara,2005-2010,85.0,16186.15
MNG,Mongolia,2005-2010,0.0,100000.0
MNG,Mongolia,2005-2010,1.0,97230.0
MNG,Mongolia,2005-2010,5.0,96618.42
MNG,Mongolia,2005-2010,10.0,96459.0
MNG,Mongolia,2005-2010,15.0,96320.1
MNG,Mongolia,2005-2010,20.0,96099.53
MNG,Mongolia,2005-2010,25.0,95744.92
MNG,Mongolia,2005-2010,30.0,95222.15
MNG,Mongolia,2005-2010,35.0,94556.55
MNG,Mongolia,2005-2010,40.0,93576.0
MNG,Mongolia,2005-2010,45.0,91944.04
MNG,Mongolia,2005-2010,50.0,89448.67
MNG,Mongolia,2005-2010,55.0,85751.76
MNG,Mongolia,2005-2010,60.0,80790.16
MNG,Mongolia,2005-2010,65.0,73942.39
MNG,Mongolia,2005-2010,70.0,64454.1
MNG,Mongolia,2005-2010,75.0,49854.95
MNG,Mongolia,2005-2010,80.0,32848.61
MNG,Mongolia,2005-2010,85.0,16413.7
GAB,Gabon,2005-2010,0.0,100000.0
GAB,Gabon,2005-2010,1.0,95282.0
GAB,Gabon,2005-2010,5.0,92836.28
GAB,Gabon,2005-2010,10.0,91721.16
GAB,Gabon,2005-2010,15.0,91024.93
GAB,Gabon,2005-2010,20.0,90260.79
GAB,Gabon,2005-2010,25.0,88835.91
GAB,Gabon,2005-2010,30.0,86195.25
GAB,Gabon,2005-2010,35.0,82452.55
GAB,Gabon,2005-2010,40.0,78594.64
GAB,Gabon,2005-2010,45.0,75323.69
GAB,Gabon,2005-2010,50.0,72613.93
GAB,Gabon,2005-2010,55.0,69915.06
GAB,Gabon,2005-2010,60.0,66416.3
GAB,Gabon,2005-2010,65.0,61315.21
GAB,Gabon,2005-2010,70.0,53777.5
